comuna,apruebo,rechazo,votos_en_blanco_2022,votos_nulos_2022,a_favor,en_contra,votos_en_blanco_2023,votos_nulos_2023
LAGO VERDE,249,533,9,13,327,265,33,65
LAGUNA BLANCA,158,347,3,4,194,224,9,14
LAJA,4796,13154,141,204,8895,8496,283,639
LAMPA,22301,37708,334,893,28083,34068,805,2093
LANCO,4157,9222,120,253,6182,6852,267,657
LAS CABRAS,6245,13236,169,235,8762,10557,445,858
LAS CONDES,46740,168948,983,2077,143008,66535,1655,4377
LAUTARO,6800,22527,159,469,15794,12985,503,1326
LEBU,4292,14260,147,251,9189,8667,348,828
LICANTEN,2012,4032,42,77,2719,2931,117,303
LIMACHE,13136,22659,250,674,15790,19694,559,1452
LINARES,20437,52116,353,976,36058,34656,939,2848
LITUECHE,2153,4159,59,129,3060,3357,156,389
LLAY-LLAY,8497,10476,121,293,6989,11497,288,688
LLANQUIHUE,4058,10345,85,186,6622,7222,280,656
LO BARNECHEA,12340,60927,221,572,54206,18846,531,1351
LO ESPEJO,36771,36987,473,1402,22446,45527,937,2768
LO PRADO,36115,36585,405,1228,24161,44409,663,2469
LOLOL,1603,4728,63,82,2997,3033,187,292
LONCOCHE,5066,13599,138,338,8812,9318,342,777
LONGAVI,4858,20257,122,307,14911,9977,378,1024
LONQUIMAY,1716,6564,80,156,4439,3223,236,486
LOS ALAMOS,3013,12837,83,276,8395,7150,249,741
LOS ANDES,19104,28906,251,732,18467,28167,473,1691
LOS ANGELES,30777,117768,686,1793,88495,58431,1864,5122
LOS LAGOS,3908,11871,102,162,8079,7130,303,668
LOS MUERMOS,2405,11937,148,182,8518,5181,424,646
LOS SAUCES,971,5080,41,71,3790,2002,108,231
LOS VILOS,6910,9135,122,302,5437,9876,296,720
LOTA,12268,26260,220,751,15050,20973,478,1907
LUMACO,1458,6009,36,88,4526,2412,160,248
MACHALI,13167,22659,185,542,16300,20059,408,1285
MACUL,42799,42945,472,1384,31248,51636,897,2489
MAFIL,1379,4718,43,78,3237,2629,105,274
MAIPU,179105,171044,1641,5327,123529,219874,3045,11054
MALLOA,3157,8390,81,134,5521,5577,197,478
MARCHIGUE,2106,4596,66,108,3162,3425,175,316
MARIA ELENA,1399,2026,23,85,990,2084,39,162
MARIA PINTO,4173,7104,75,160,5451,5801,227,481
MARIQUINA,4708,11665,115,171,7393,8599,380,699
MAULE,6627,17955,114,406,13488,12607,322,1092
MAULLIN,3061,9056,121,181,6213,5205,420,608
MEJILLONES,3430,4823,53,146,2874,5245,120,348
MELIPEUCO,1293,3982,55,100,2831,2221,134,243
MELIPILLA,30691,59386,543,1410,42388,46286,1283,3462
MOLINA,11611,24426,186,559,15828,19305,464,1641
MONTE PATRIA,7213,16159,191,392,8778,13230,525,1043
MOSTAZAL,7521,12132,138,330,7753,11778,271,863
MULCHEN,4984,17436,162,310,12233,9341,429,919
