codigo_comuna,comuna,sexo,anos_de_escolaridad_promedio_para_la_poblacion_de_18_anos_o_mas
5704,Panquehue,Hombre,10.6
5704,Panquehue,Mujer,10.8
5705,Putaendo,Hombre,11
5705,Putaendo,Mujer,11.4
5706,Santa María,Hombre,10.6
5706,Santa María,Mujer,11.1
5801,Quilpué,Hombre,13.1
5801,Quilpué,Mujer,12.8
5802,Limache,Hombre,12.1
5802,Limache,Mujer,12.1
5803,Olmué,Hombre,11.4
5803,Olmué,Mujer,11.7
5804,Villa Alemana,Hombre,13.1
5804,Villa Alemana,Mujer,12.8
13101,Santiago,Hombre,13.9
13101,Santiago,Mujer,14.1
13102,Cerrillos,Hombre,11.9
13102,Cerrillos,Mujer,11.7
13103,Cerro Navia,Hombre,10.8
13103,Cerro Navia,Mujer,10.6
13104,Conchalí,Hombre,11.7
13104,Conchalí,Mujer,11.6
13105,El Bosque,Hombre,11.3
13105,El Bosque,Mujer,11.2
13106,Estación Central,Hombre,12.5
13106,Estación Central,Mujer,12.5
13107,Huechuraba,Hombre,13.1
13107,Huechuraba,Mujer,12.8
13108,Independencia,Hombre,12.9
13108,Independencia,Mujer,12.8
13109,La Cisterna,Hombre,13.1
13109,La Cisterna,Mujer,12.9
13110,La Florida,Hombre,13.2
13110,La Florida,Mujer,12.8
13111,La Granja,Hombre,11.3
13111,La Granja,Mujer,11.1
13112,La Pintana,Hombre,10.4
13112,La Pintana,Mujer,10.4
13113,La Reina,Hombre,15.3
13113,La Reina,Mujer,14.7
13114,Las Condes,Hombre,16.2
13114,Las Condes,Mujer,15.3
13115,Lo Barnechea,Hombre,15.1
13115,Lo Barnechea,Mujer,14.4
13116,Lo Espejo,Hombre,10.8
13116,Lo Espejo,Mujer,10.6
13117,Lo Prado,Hombre,11.5
13117,Lo Prado,Mujer,11.2
13118,Macul,Hombre,13.6
13118,Macul,Mujer,13.4
13119,Maipú,Hombre,12.9
13119,Maipú,Mujer,12.6
13120,Ñuñoa,Hombre,15.8
13120,Ñuñoa,Mujer,15.3
13121,Pedro Aguirre Cerda,Hombre,11.5
13121,Pedro Aguirre Cerda,Mujer,11.4
13122,Peñalolén,Hombre,12.5
13122,Peñalolén,Mujer,12.3
13123,Providencia,Hombre,16.5
13123,Providencia,Mujer,15.9
13124,Pudahuel,Hombre,12
13124,Pudahuel,Mujer,11.8
13125,Quilicura,Hombre,12.4
13125,Quilicura,Mujer,12.2
13126,Quinta Normal,Hombre,12.4
13126,Quinta Normal,Mujer,12.3
13127,Recoleta,Hombre,11.9
13127,Recoleta,Mujer,11.7
13128,Renca,Hombre,11.3
13128,Renca,Mujer,11.1
13129,San Joaquín,Hombre,12.3
13129,San Joaquín,Mujer,12
13130,San Miguel,Hombre,14.4
13130,San Miguel,Mujer,14.1
13131,San Ramón,Hombre,11
13131,San Ramón,Mujer,10.8
13132,Vitacura,Hombre,16.7
13132,Vitacura,Mujer,15.5
13201,Puente Alto,Hombre,12.3
13201,Puente Alto,Mujer,12.2
13202,Pirque,Hombre,12.4
13202,Pirque,Mujer,12.6
13203,San José de Maipo,Hombre,12.3
13203,San José de Maipo,Mujer,12.5
13301,Colina,Hombre,12.6
13301,Colina,Mujer,12.7
13302,Lampa,Hombre,12.1
13302,Lampa,Mujer,12.3
13303,Tiltil,Hombre,11.5
13303,Tiltil,Mujer,11.6
13401,San Bernardo,Hombre,11.8
13401,San Bernardo,Mujer,11.7
13402,Buin,Hombre,12.3
13402,Buin,Mujer,12.3
13403,Calera de Tango,Hombre,12.1
13403,Calera de Tango,Mujer,12.1
13404,Paine,Hombre,11.3
13404,Paine,Mujer,11.4
13501,Melipilla,Hombre,11.1
13501,Melipilla,Mujer,11.4
13502,Alhué,Hombre,10.8
13502,Alhué,Mujer,11
13503,Curacaví,Hombre,11.6
13503,Curacaví,Mujer,11.8
13504,María Pinto,Hombre,10.7
13504,María Pinto,Mujer,11
13505,San Pedro,Hombre,9.8
13505,San Pedro,Mujer,10.2
13601,Talagante,Hombre,12
13601,Talagante,Mujer,12
13602,El Monte,Hombre,11.1
13602,El Monte,Mujer,11.2
13603,Isla de Maipo,Hombre,11.3
13603,Isla de Maipo,Mujer,11.4
13604,Padre Hurtado,Hombre,12.3
13604,Padre Hurtado,Mujer,12.2
13605,Peñaflor,Hombre,12.2
13605,Peñaflor,Mujer,12.1
6101,Rancagua,Hombre,12.3
6101,Rancagua,Mujer,12.2
6102,Codegua,Hombre,10.7
6102,Codegua,Mujer,10.9
6103,Coinco,Hombre,10.5
6103,Coinco,Mujer,10.8
6104,Coltauco,Hombre,10.1
6104,Coltauco,Mujer,10.5
6105,Doñihue,Hombre,11.2
